"protein_name","sample_ID","psm","study","material","material2","x_label"
"Serum amyloid P-component","1-ZH1657",7,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Basement membrane-specific heparan sulfate proteoglycan core protein","1-ZH1658",7,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"C-type lectin domain family 11 member A","1-ZH1658",7,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Coagulation factor VII","1-ZH1658",7,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Collagen alpha-1(V) chain","1-ZH1658",7,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Fatty acid-binding protein, adipocyte","1-ZH1658",7,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Osteopontin","1-ZH1658",7,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Collagen alpha-1(III) chain","1-ZH1659",7,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Filamin-A","1-ZH1659",7,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Glutathione peroxidase 3","1-ZH1659",7,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Myosin-binding protein C, slow-type","1-ZH1659",7,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Aspartyl aminopeptidase","1-ZH1670",7,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Serpin B6","1-ZH1670",7,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Basement membrane-specific heparan sulfate proteoglycan core protein","2-ZH1672",7,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Collagen alpha-1(VI) chain","2-ZH1672",7,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Kininogen-1","2-ZH1672",7,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Protein Z-dependent protease inhibitor","2-ZH1672",7,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Vitamin K-dependent protein S","2-ZH1672",7,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Collagen alpha-2(IV) chain","2-ZH1673",7,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Prenylcysteine oxidase","2-ZH1673",7,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Prolargin","2-ZH1673",7,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Clusterin","3-ZH1676",7,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"SPARC","3-ZH1676",7,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Unconventional myosin-Id","3-ZH1676",7,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Vitamin K-dependent protein C","3-ZH1676",7,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Ferritin light chain","1-ZH1656",6,"Seili","coffin_bedding","Coffin
bedding","1-ZH1656

Coffin
bedding"
"Protein S100-A9","1-ZH1656",6,"Seili","coffin_bedding","Coffin
bedding","1-ZH1656

Coffin
bedding"
"Aspartate aminotransferase, mitochondrial","1-ZH1657",6,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"HLA class II histocompatibility antigen, DR alpha chain","1-ZH1657",6,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"KRT81_HUMAN","1-ZH1657",6,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Immunoglobulin gamma-1 heavy chain","1-ZH1658",6,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Kininogen-1","1-ZH1658",6,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Protein Z-dependent protease inhibitor","1-ZH1658",6,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Sodium/calcium exchanger 3","1-ZH1658",6,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Vitamin K-dependent protein S","1-ZH1658",6,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Beta-glucuronidase","1-ZH1659",6,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Collagen alpha-3(VI) chain","1-ZH1659",6,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Alpha-N-acetylglucosaminidase","1-ZH1670",6,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Complement C3","1-ZH1670",6,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Fibromodulin","1-ZH1670",6,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Membrane primary amine oxidase","1-ZH1670",6,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"C-reactive protein","1-ZH1670",6,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"CD9 antigen","2-ZH1672",6,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Extracellular superoxide dismutase [Cu-Zn]","2-ZH1672",6,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Immunoglobulin gamma-1 heavy chain","2-ZH1672",6,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Retina-specific copper amine oxidase","2-ZH1672",6,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Collagen alpha-1(XII) chain","2-ZH1673",6,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Fibulin-2","2-ZH1673",6,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Lumican","2-ZH1673",6,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Myosin-11","2-ZH1673",6,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Asporin","3-ZH1676",6,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Bone sialoprotein 2","3-ZH1676",6,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Coagulation factor VII","3-ZH1676",6,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Dermatopontin","3-ZH1676",6,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Osteopontin","3-ZH1676",6,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Protein Z-dependent protease inhibitor","3-ZH1676",6,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Vitamin K-dependent protein S","3-ZH1676",6,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Vitrin","3-ZH1676",6,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Ferritin heavy chain","1-ZH1656",5,"Seili","coffin_bedding","Coffin
bedding","1-ZH1656

Coffin
bedding"
"KRT81_HUMAN","1-ZH1656",5,"Seili","coffin_bedding","Coffin
bedding","1-ZH1656

Coffin
bedding"
"Collagen alpha-1(VI) chain","1-ZH1657",5,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Fibronectin","1-ZH1657",5,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Histone H4","1-ZH1657",5,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"L-xylulose reductase","1-ZH1657",5,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Mammalian ependymin-related protein 1","1-ZH1657",5,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Mitochondrial 2-oxoglutarate/malate carrier protein","1-ZH1657",5,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Myomesin-1","1-ZH1657",5,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Protein S100-A9","1-ZH1657",5,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2","1-ZH1657",5,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Alpha-1-antitrypsin","1-ZH1658",5,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Calcium/calmodulin-dependent protein kinase type II subunit alpha","1-ZH1658",5,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Carboxypeptidase Z","1-ZH1658",5,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Collagen alpha-1(VI) chain","1-ZH1658",5,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Collagen alpha-2(VI) chain","1-ZH1658",5,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Complement C3","1-ZH1658",5,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Extracellular superoxide dismutase [Cu-Zn]","1-ZH1658",5,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Titin","1-ZH1658",5,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Antithrombin-III","1-ZH1659",5,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Apolipoprotein D","1-ZH1659",5,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Aspartyl aminopeptidase","1-ZH1659",5,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Azurocidin","1-ZH1659",5,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Hemoglobin subunit beta","1-ZH1659",5,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Microfibril-associated glycoprotein 4","1-ZH1659",5,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Aldehyde dehydrogenase family 3 member A2","1-ZH1670",5,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Aspartate aminotransferase, cytoplasmic","1-ZH1670",5,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Chondroadherin","1-ZH1670",5,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Haptoglobin","1-ZH1670",5,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Myomesin-1","1-ZH1670",5,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Myomesin-3","1-ZH1670",5,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Protein NipSnap homolog 3A","1-ZH1670",5,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"FABPH_HUMAN","1-ZH1670",5,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Antithrombin-III","2-ZH1672",5,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Asporin","2-ZH1672",5,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Clusterin","2-ZH1672",5,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Complement C3","2-ZH1672",5,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Matrix remodeling-associated protein 8","2-ZH1672",5,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"SPARC","2-ZH1672",5,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Sodium/calcium exchanger 3","2-ZH1672",5,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Collagen alpha-2(VI) chain","2-ZH1673",5,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Gamma-glutamyl hydrolase","2-ZH1673",5,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Mimecan","2-ZH1673",5,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Myelin protein P0","2-ZH1673",5,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Myeloblastin","2-ZH1673",5,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Neutrophil elastase","2-ZH1673",5,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Neutrophil gelatinase-associated lipocalin","2-ZH1673",5,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Peroxiredoxin-4","2-ZH1673",5,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Platelet glycoprotein 4","2-ZH1673",5,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Sulfide:quinone oxidoreductase, mitochondrial","2-ZH1673",5,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Tryptase alpha/beta-1","2-ZH1673",5,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Voltage-dependent anion-selective channel protein 3","2-ZH1673",5,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Collagen alpha-1(XXII) chain","3-ZH1676",5,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Complement C3","3-ZH1676",5,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Platelet glycoprotein 4","3-ZH1676",5,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Alpha-1-antichymotrypsin","1-ZH1656",4,"Seili","coffin_bedding","Coffin
bedding","1-ZH1656

Coffin
bedding"
"ATP synthase subunit alpha, mitochondrial","1-ZH1657",4,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Alpha-2-macroglobulin","1-ZH1657",4,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Carnitine O-palmitoyltransferase 2, mitochondrial","1-ZH1657",4,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Collagen alpha-1(XII) chain","1-ZH1657",4,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Collagen alpha-1(XV) chain","1-ZH1657",4,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Hemoglobin subunit beta","1-ZH1657",4,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Immunoglobulin gamma-1 heavy chain","1-ZH1657",4,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Keratin, type I cuticular Ha3-I","1-ZH1657",4,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Mast cell carboxypeptidase A","1-ZH1657",4,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Myelin protein P0","1-ZH1657",4,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Toll-interacting protein","1-ZH1657",4,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Transmembrane protein 43","1-ZH1657",4,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Antithrombin-III","1-ZH1658",4,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Bone sialoprotein 2","1-ZH1658",4,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Cartilage-associated protein","1-ZH1658",4,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Clusterin","1-ZH1658",4,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Collagen alpha-1(XXII) chain","1-ZH1658",4,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Collagen alpha-2(XI) chain","1-ZH1658",4,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Phosphatidylcholine:ceramide cholinephosphotransferase 2","1-ZH1658",4,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Platelet glycoprotein 4","1-ZH1658",4,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"SPARC","1-ZH1658",4,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Ubiquitin-60S ribosomal protein L40","1-ZH1658",4,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Vitrin","1-ZH1658",4,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Aldehyde dehydrogenase family 3 member A2","1-ZH1659",4,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Myomesin-2","1-ZH1659",4,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Myomesin-3","1-ZH1659",4,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Serpin B6","1-ZH1659",4,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Sushi repeat-containing protein SRPX2","1-ZH1659",4,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"ATP synthase subunit gamma, mitochondrial","1-ZH1670",4,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Basement membrane-specific heparan sulfate proteoglycan core protein","1-ZH1670",4,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Cartilage matrix protein","1-ZH1670",4,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Creatine kinase S-type, mitochondrial","1-ZH1670",4,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Cystatin-B","1-ZH1670",4,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Glutathione synthetase","1-ZH1670",4,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Immunoglobulin kappa variable 3-20","1-ZH1670",4,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Laminin subunit gamma-1","1-ZH1670",4,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"N-acetylgalactosamine-6-sulfatase","1-ZH1670",4,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming)","1-ZH1670",4,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Neutrophil gelatinase-associated lipocalin","1-ZH1670",4,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Protein NipSnap homolog 2","1-ZH1670",4,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"MYG_HUMAN","1-ZH1670",4,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Bone sialoprotein 2","2-ZH1672",4,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Growth arrest-specific protein 6","2-ZH1672",4,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Lactadherin","2-ZH1672",4,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Osteopontin","2-ZH1672",4,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Tetranectin","2-ZH1672",4,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Vitrin","2-ZH1672",4,"Seili","bone","Bone
 ","2-ZH1672

Bone
 "
"Chymase","2-ZH1673",4,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Collagen alpha-1(VI) chain","2-ZH1673",4,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Collagen alpha-1(X) chain","2-ZH1673",4,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Complement C3","2-ZH1673",4,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Eosinophil cationic protein","2-ZH1673",4,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Eosinophil peroxidase","2-ZH1673",4,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Galectin-3","2-ZH1673",4,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Peroxiredoxin-6","2-ZH1673",4,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Secreted and transmembrane protein 1","2-ZH1673",4,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"KRT81_HUMAN","2-ZH1673",4,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"K1C14_HUMAN","2-ZH1673",4,"Seili","soft_tissue","Soft
tissue","2-ZH1673

Soft
tissue"
"Carboxypeptidase Z","3-ZH1676",4,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Cartilage-associated protein","3-ZH1676",4,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Extracellular matrix protein 2","3-ZH1676",4,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Extracellular superoxide dismutase [Cu-Zn]","3-ZH1676",4,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Immunoglobulin gamma-1 heavy chain","3-ZH1676",4,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Sodium/calcium exchanger 3","3-ZH1676",4,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Tetranectin","3-ZH1676",4,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Ubiquitin-60S ribosomal protein L40","3-ZH1676",4,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"C-reactive protein","3-ZH1676",4,"Seili","bone","Bone
 ","3-ZH1676

Bone
 "
"Keratin, type I cuticular Ha3-I","1-ZH1656",3,"Seili","coffin_bedding","Coffin
bedding","1-ZH1656

Coffin
bedding"
"Aldehyde dehydrogenase family 3 member A2","1-ZH1657",3,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Antithrombin-III","1-ZH1657",3,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Aspartate aminotransferase, cytoplasmic","1-ZH1657",3,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Collagen alpha-1(XVIII) chain","1-ZH1657",3,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Collagen alpha-2(I) chain","1-ZH1657",3,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Galectin-3","1-ZH1657",3,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Glycerol-3-phosphate dehydrogenase, mitochondrial","1-ZH1657",3,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Immunoglobulin kappa constant","1-ZH1657",3,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Immunoglobulin lambda constant 7","1-ZH1657",3,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Myeloperoxidase","1-ZH1657",3,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Peroxiredoxin-6","1-ZH1657",3,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Serpin B6","1-ZH1657",3,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Sialate O-acetylesterase","1-ZH1657",3,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Tripeptidyl-peptidase 1","1-ZH1657",3,"Seili","coffin_bedding","Coffin
bedding","1-ZH1657

Coffin
bedding"
"Alpha-2-macroglobulin","1-ZH1658",3,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Apolipoprotein A-I","1-ZH1658",3,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Ectonucleoside triphosphate diphosphohydrolase 3","1-ZH1658",3,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Filamin-C","1-ZH1658",3,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Growth arrest-specific protein 6","1-ZH1658",3,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Sodium/potassium-transporting ATPase subunit alpha-1","1-ZH1658",3,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Tetranectin","1-ZH1658",3,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Transmembrane protein 119","1-ZH1658",3,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Versican core protein","1-ZH1658",3,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"GELS_HUMAN","1-ZH1658",3,"Seili","bone","Bone
 ","1-ZH1658

Bone
 "
"Collagen alpha-1(XIV) chain","1-ZH1659",3,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Collagen alpha-2(VI) chain","1-ZH1659",3,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Myeloblastin","1-ZH1659",3,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Neutrophil elastase","1-ZH1659",3,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Nucleophosmin","1-ZH1659",3,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Prolargin","1-ZH1659",3,"Seili","soft_tissue","Soft
tissue","1-ZH1659

Soft
tissue"
"Alpha-1-acid glycoprotein 2","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Alpha-actinin-3","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Amine oxidase [flavin-containing] B","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Carboxypeptidase A1","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Carnitine O-palmitoyltransferase 2, mitochondrial","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Cartilage intermediate layer protein 2","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Choline transporter-like protein 2","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Collagen alpha-1(I) chain","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Collagen alpha-1(III) chain","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Collagen alpha-1(VIII) chain","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Eosinophil cationic protein","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Epiphycan","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Glutathione peroxidase 1","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Histone H4","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Immunoglobulin heavy constant gamma 2","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Kallistatin","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Mast cell carboxypeptidase A","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Mitochondrial 2-oxoglutarate/malate carrier protein","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Myeloblastin","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Protein CREG1","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Ribonuclease 4","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Transthyretin","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
"Tripeptidyl-peptidase 1","1-ZH1670",3,"Seili","soft_tissue","Soft
tissue","1-ZH1670

Soft
tissue"
